扌圭 挂
扌旨 指
扌安 按
扌夸 挎
扌兆 挑
扌穵 挖
扌过 挝
扌达 挞
扌夹 挟
扌尧 挠
扌当 挡
扌乔 挢
扌争 挣
扌齐 挤
扌军 挥
扌矣 挨
扌那 挪
扌坐 挫
扌辰 振
扌邑 挹
扌廷 挺
扌免 挽
扌夾 挾
扌吾 捂
扌君 捃
扌甬 捅
扌困 捆
扌足 捉
扌寽 捋
扌别 捌
扌旱 捍
扌肖 捎
扌圼 捏
扌肙 捐
扌甫 捕
扌劳 捞
扌员 损
扌佥 捡
扌奂 换
扌岛 捣
扌奉 捧
扌舍 捨
扌戾 捩
扌門 捫
扌卑 捭
扌居 据
扌厓 捱
扌卷 捲
扌垂 捶
扌疌 捷
扌奈 捺
扌念 捻
扌欣 掀
扌店 掂
扌帚 掃
扌侖 掄
扌叕 掇
扌受 授
扌卓 掉
扌咅 掊
扌奇 掎
扌匋 掏
扌臽 掐
扌非 排
扌夜 掖
扌屈 掘
扌爭 掙
扌卦 掛
扌京 掠
扌采 採
扌木 探
扌妾 接
扌空 控
扌隹 推
扌奄 掩
扌昔 措
扌匊 掬
扌忝 掭
扌肩 掮
扌虏 掳
扌国 掴
扌郑 掷
扌单 掸
扌参 掺
扌贯 掼
扌彖 掾
扌柬 揀
扌俞 揄
扌癸 揆
扌柔 揉
扌奏 揍
扌宣 揎
扌苗 描
扌是 提
扌臿 插
扌咠 揖
扌昜 揚
扌奐 換
扌音 揞
扌匽 揠
扌屋 握
扌耑 揣
扌皆 揩
扌秋 揪
扌曷 揭
扌軍 揮
扌枼 揲
扌爰 援
扌耶 揶
扌查 揸
扌览 揽
扌钦 揿
扌免 搀
扌阁 搁
扌娄 搂
扌觉 搅
扌虒 搋
扌展 搌
扌員 損
扌尃 搏
扌畜 搐
扌旁 搒
扌差 搓
扌蚤 搔
扌島 搗
扌兼 搛
扌叟 搜
扌高 搞
扌朔 搠
扌桑 搡
扌弱 搦
扌唐 搪
扌般 搬
扌荅 搭
扌倉 搶
扌隽 携
扌茶 搽
扌烏 摀
扌恩 摁
扌聂 摄
扌虑 摅
扌罢 摆
扌宾 摈
扌难 摊
扌國 摑
扌屏 摒
扌率 摔
扌啇 摘
扌累 摞
扌婁 摟
扌崔 摧
扌庶 摭
扌區 摳
扌專 摶
扌莫 摸
扌習 摺
扌參 摻
扌票 摽
扌畧 撂
扌婴 撄
扌厥 撅
扌敝 撇
扌勞 撈
扌牚 撐
扌掌 撑
扌散 撒
扌堯 撓
扌斯 撕
扌敢 撖
扌尊 撙
扌童 撞
扌單 撣
扌發 撥
扌尞 撩
扌無 撫
扌毳 撬
扌番 播
扌最 撮
扌巽 撰
扌菐 撲
扌欽 撳
扌辇 撵
扌颉 撷
扌鲁 撸
扌窜 撺
扌達 撻
扌感 撼
扌過 撾
扌僉 撿
扌幹 擀
扌雍 擁
扌雷 擂
扌虜 擄
扌亶 擅
扌睪 擇
扌當 擋
扌喿 操
扌睘 擐
扌禽 擒
扌詹 擔
扌辟 擗
扌豦 據
扌数 擞
扌齊 擠
扌臺 擡
扌翟 擢
扌鼻 擤
扌察 擦
扌疑 擬
扌賓 擯
扌寧 擰
扌閣 擱
扌鄭 擲
扌廣 擴
扌頡 擷
扌罷 擺
扌數 擻
扌魯 擼
扌憂 擾
扌適 擿
扌輦 攆
扌霍 攉
扌龍 攏
扌赞 攒
扌闌 攔
扌襄 攘
扌毚 攙
扌竄 攛
扌巂 攜
扌聶 攝
扌贊 攢
扌難 攤
扌纂 攥
扌覺 攪
扌矍 攫
扌覽 攬
扌囊 攮
丩攵 收
己攵 改
工攵 攻
方攵 放
正攵 政
民攵 敃
矛攵 敄
古攵 故
交攵 效
米攵 敉
舌攵 敌
每攵 敏
求攵 救
束攵 敕
貝攵 敗
余攵 敘
孝攵 教
佥攵 敛
尚攵 敞
耳攵 敢
享攵 敦
叕攵 敪
白方攵 敫
苟攵 敬
娄攵 数
高攴 敲
啇攵 敵
旉攵 敷
婁攵 數
僉攵 斂
文武 斌
文阑 斓
文闌 斕
米斗 料
角斗 斛
余斗 斜
甚斗 斟
斤斤 斦
车斤 斩
石斤 斫
車斤 斬
米斤 断
其斤 斯
亲斤 新
幺幺一幺幺斤 斷
方子 斿
方丹 旃
方毛 旄
方氏 旅
方巿 旆
方疋 旋
方生 旌
方尼 旎
方矢 族
方奇 旖
方其 旗
丨日 旧
日干 旰
日寸 时
日广 旷
日王 旺
日匀 昀
日方 昉
日月 明
日斤 昕
日央 映
日未 昧
日乍 昨
日句 昫
日召 昭
日尼 昵
日寺 時
日向 晌
日西 晒
日尧 晓
日华 晔
日军 晖
日含 晗
日免 晚
日甫 晡
日吾 晤
日每 晦
日卒 晬
日析 晰
日青 晴
日京 晾
日宣 暄
日施 暆
日叚 暇
日軍 暉
日癸 暌
日爰 暖
日音 暗
日冥 暝
日翁 暡
申昜 暢
日爱 暧
日匿 暱
日敦 暾
日華 曄
日堯 曉
日愛 曖
日署 曙
日蒙 曚
日熏 曛
日翟 曜
日暴 曝
日廣 曠
日羲 曦
日麗 曬
月月 朋
月卩又 服
月句 朐
屰月 朔
月关 朕
良月 朗
龺月 朝
其月 期
月蒙 朦
月龍 朧
木乚 札
木卜 朴
木几 机
木丂 朽
木又 权
木干 杆
木叉 杈
木彡 杉
木兀 杌
木才 材
木寸 村
木勺 杓
木丈 杖
木土 杜
木己 杞
木工 杠
木昜 杨
木马 杩
木少 杪
木亢 杭
木不 杯
木午 杵
木巴 杷
木予 杼
木公 松
木反 板
木及 极
木勾 构
木比 枇
木王 枉
木方 枋
木斤 析
木牙 枒
木斗 枓
木冘 枕
木木 林
木内 枘
木攵 枚
木支 枝
木从 枞
木区 枢
木历 枥
木见 枧
木长 枨
木仓 枪
木风 枫
木古 枯
木平 枰
木只 枳
木号 枵
木加 枷
木句 枸
木它 柁
木令 柃
木丙 柄
木冬 柊
木白 柏
木甘 柑
木石 柘
木甲 柙
木由 柚
木巨 柜
木斥 柝
木乍 柞
木宁 柠
木氐 柢
木匛 柩
木可 柯
木主 柱
木卯 柳
木冊 柵
木圣 柽
木市 柿
木卮 栀
木册 栅
木示 标
木戋 栈
木节 栉
木龙 栊
木东 栋
木卢 栌
木乐 栎
木兰 栏
木对 树
木全 栓
木西 栖
木舌 栝
木交 校
木羽 栩
木朱 株
木共 栱
木考 栲
木老 栳
